Class,OzESI_Intensity,Lipid,Parent_Ion,Product_Ion,Sample_ID,Transition,Retention_Time
,545137.8179550171,,760.6,571.596,CrudeCanola_O3on_150gN3_02082023,760.6 -> 571.596,
,620821.9442253113,,762.6,573.596,CrudeCanola_O3on_150gN3_02082023,762.6 -> 573.596,
,944185.9277381896,,764.6,575.596,CrudeCanola_O3on_150gN3_02082023,764.6 -> 575.596,
,1137433.922012329,,766.7,577.596,CrudeCanola_O3on_150gN3_02082023,766.7 -> 577.596,
,590067.6215438843,,782.6,593.596,CrudeCanola_O3on_150gN3_02082023,782.6 -> 593.596,
,536579.2383117676,,784.6,595.596,CrudeCanola_O3on_150gN3_02082023,784.6 -> 595.596,
,460230.0313835144,,786.6,569.596,CrudeCanola_O3on_150gN3_02082023,786.6 -> 569.596,
,574406.8006248474,,786.6,597.596,CrudeCanola_O3on_150gN3_02082023,786.6 -> 597.596,
,341569.8039665222,,788.6,571.596,CrudeCanola_O3on_150gN3_02082023,788.6 -> 571.596,
,1037703.87374115,,788.6,599.596,CrudeCanola_O3on_150gN3_02082023,788.6 -> 599.596,
,813937.0591239929,,790.6,601.596,CrudeCanola_O3on_150gN3_02082023,790.6 -> 601.596,
,414465.9496574402,,790.7,573.596,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.596,
,1644577.2702941897,,792.6,603.596,CrudeCanola_O3on_150gN3_02082023,792.6 -> 603.596,
,526943.957408905,,792.7,575.596,CrudeCanola_O3on_150gN3_02082023,792.7 -> 575.596,
,1287906.511253357,,794.6,605.596,CrudeCanola_O3on_150gN3_02082023,794.6 -> 605.596,
,748102.492767334,,794.7,577.596,CrudeCanola_O3on_150gN3_02082023,794.7 -> 577.596,
,851320.2012672424,,796.7,579.596,CrudeCanola_O3on_150gN3_02082023,796.7 -> 579.596,
,445069.7914657593,,812.7,595.596,CrudeCanola_O3on_150gN3_02082023,812.7 -> 595.596,
,521672.2765197754,,814.7,597.596,CrudeCanola_O3on_150gN3_02082023,814.7 -> 597.596,
,554324.2788009644,,816.7,599.596,CrudeCanola_O3on_150gN3_02082023,816.7 -> 599.596,
,494212.0953407288,,818.7,601.596,CrudeCanola_O3on_150gN3_02082023,818.7 -> 601.596,
,765342.9136238098,,820.7,603.596,CrudeCanola_O3on_150gN3_02082023,820.7 -> 603.596,
,801509.7371406555,,822.7,605.596,CrudeCanola_O3on_150gN3_02082023,822.7 -> 605.596,
TAG,351944.1647415161,[TG(52:6)]_FA18:1,868.7,569.596,CrudeCanola_O3on_150gN3_02082023,868.7 -> 569.596,
TAG,347724.5445098877,[TG(52:6)]_FA18:1,868.7,569.596,CrudeCanola_O3on_150gN3_02082023,868.7 -> 569.596,
TAG,345145.22470474243,[TG(52:5)]_FA18:1,870.8,571.596,CrudeCanola_O3on_150gN3_02082023,870.8 -> 571.596,
TAG,644667.5072174072,[TG(52:4)]_FA18:1,872.8,573.596,CrudeCanola_O3on_150gN3_02082023,872.8 -> 573.596,14.3
TAG,3785085.12594986,"[TG(53:10),TG(52:3)]_FA18:1",874.8,575.596,CrudeCanola_O3on_150gN3_02082023,874.8 -> 575.596,
TAG,6697261.701007843,"[TG(53:9),TG(52:2)]_FA18:1",876.8,577.596,CrudeCanola_O3on_150gN3_02082023,876.8 -> 577.596,
TAG,1560941.4694252014,"[TG(54:7),TG(53:0)]_FA18:1",894.8,595.596,CrudeCanola_O3on_150gN3_02082023,894.8 -> 595.596,
TAG,561813.2996520996,[TG(54:6)]_FA18:1,896.8,597.596,CrudeCanola_O3on_150gN3_02082023,896.8 -> 597.596,
TAG,1642856.0752105713,[TG(54:5)]_FA18:1,898.8,599.596,CrudeCanola_O3on_150gN3_02082023,898.8 -> 599.596,14.31
TAG,2771804.7530555725,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.596,CrudeCanola_O3on_150gN3_02082023,900.8 -> 601.596,
TAG,8742020.293811798,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.596,CrudeCanola_O3on_150gN3_02082023,902.8 -> 603.596,
